Location,distance_f,distance_u,seed1,Year.1,team_fav,power_fav,seed2,team_under,power_under,win_home,W-L%_f,SRS_f,SOS_f,w-l%_pct_conf_f,PTS/G_f,PTSopp/G_,FG/G_f,FGA/G_f,FG%_f,3P/G_f,3PA/G_f,3P%_f,FT/G_f,FTA/G_f,ORB/G_f,TRB/G_f,AST/G_f,STL/G_f,BLK/G_f,TOV/G_f,PF/G_f,W-L%_u,SRS_u,SOS_u,w-l%_pct_conf_u,PTS/G_u,PTSopp/G_u,FG/G_u,FGA/G_u,FG%_u,3P/G_u,3PA/G_u,3P%_u,FT/G_u,FTA/G_u,ORB/G_u,TRB/G_u,AST/G_u,STL/G_u,BLK/G_u,TOV/G_u,PF/G_u
Detroit,2,0,6,2018,TCU,1,11,Syracuse,1,0,0.656,17.03,9.97,0.5,83,75.9375,30,60.15625,0.499,8.46875,21.15625,0.4,14.53125,20.53125,11.15625,36.4375,18.78125,6.59375,3.59375,12.6875,16.78125,0.606,12.25,9.25,0.444444444,67.54545455,64.54545455,22.75757576,54.42424242,0.418,5.848484848,18.21212121,0.321,16.18181818,21.87878788,12.09090909,37.36363636,10.96969697,7.242424242,5.545454545,12.54545455,16.3030303
Dallas,2,2,6,2018,Florida,1,11,St. Bonaventure,0,1,0.625,16.81,10.19,0.611111111,76.0625,69.4375,26.28125,60.53125,0.434,9.125,24.3125,0.375,14.375,20,10.78125,35.125,12.96875,6.84375,4.71875,9.84375,17.25,0.781,8.99,2.08,0.777777778,77.90625,71,26.375,57.8125,0.456,7.75,19.46875,0.398,17.40625,23.09375,10.34375,35.5625,14.21875,6.90625,3.59375,11.46875,20.03125
Wichita,1,2,6,2018,Houston,0,11,San Diego State,0,1,0.688,12.49,3.84,0.611111111,77.5,67.90625,27.5625,59.78125,0.461,7.34375,21.65625,0.339,15.03125,20.84375,11.09375,37.6875,14.90625,6.3125,3.1875,11.9375,17.03125,0.688,12.49,3.84,0.611111111,77.5,67.90625,27.5625,59.78125,0.461,7.34375,21.65625,0.339,15.03125,20.84375,11.09375,37.6875,14.90625,6.3125,3.1875,11.9375,17.03125
Dallas,2,2,6,2018,Miami (FL),1,11,Loyala Chi.,0,0,0.71,13.27,7.14,0.611111111,74.16129032,68.03225806,27.41935484,59.09677419,0.464,7.838709677,21.58064516,0.363,11.41935484,17.22580645,9.967741935,34.83870968,13.32258065,6.548387097,3.967741935,11.32258065,16.29032258,0.848,9.37,-0.28,0.833333333,72.42424242,62.24242424,26.33333333,51.93939394,0.507,7.454545455,18.72727273,0.398,12.3030303,17,6.333333333,32.33333333,15.72727273,6.636363636,2.484848485,12.24242424,13.81818182
Detroit,2,2,6,2018,TCU,1,11,Arizona State,1,1,0.656,17.03,9.97,0.5,83,75.9375,30,60.15625,0.499,8.46875,21.15625,0.4,14.53125,20.53125,11.15625,36.4375,18.78125,6.59375,3.59375,12.6875,16.78125,0.645,15.01,6.81,0.444444444,83.51612903,75.32258065,27.96774194,60.22580645,0.464,8.935483871,24.51612903,0.364,18.64516129,25.25806452,9.903225806,35.25806452,14.16129032,6.580645161,3.580645161,10.74193548,18.87096774
Wichita,1,1,6,2018,Houston,0,3,Michigan ,1,0,0.688,12.49,3.84,0.611111111,77.5,67.90625,27.5625,59.78125,0.461,7.34375,21.65625,0.339,15.03125,20.84375,11.09375,37.6875,14.90625,6.3125,3.1875,11.9375,17.03125,0.8,18.9,8.78,0.722222222,74.45714286,63.54285714,26.94285714,57.22857143,0.471,9.142857143,24.8,0.369,11.42857143,17.34285714,8.571428571,33.34285714,14.8,6.257142857,3.171428571,9.142857143,15.57142857
Dallas,2,2,6,2018,Florida,1,3,Texas Tech,1,1,0.781,8.99,2.08,0.777777778,77.90625,71,26.375,57.8125,0.456,7.75,19.46875,0.398,17.40625,23.09375,10.34375,35.5625,14.21875,6.90625,3.59375,11.46875,20.03125,0.727,19.57,9.02,0.611111111,75.24242424,64.6969697,26.15151515,56.33333333,0.464,7.03030303,19.21212121,0.366,15.90909091,22.6969697,10.93939394,35.81818182,13.54545455,7.424242424,4.060606061,12.48484848,18.15151515
Detroit,2,2,6,2018,TCU,1,3,Michigan State,1,1,0.788,1.62,-3.8,0.777777778,75.09090909,68.75757576,25.81818182,56.18181818,0.46,7.696969697,21.18181818,0.363,15.75757576,20.75757576,8.484848485,33,11.42424242,5.181818182,3.606060606,9.636363636,16.36363636,0.879,23.46,7.28,0.888888889,80.96969697,64.78787879,28.57575758,56.72727273,0.504,8.393939394,20.33333333,0.413,15.42424242,20.54545455,11.06060606,40.84848485,19.33333333,4.090909091,7.363636364,13.18181818,18.06060606
"Charlotte, NC",2,1,7,2018,Texas A&M,1,10,Providence,1,1,0.625,15.71,10.52,0.5,75,69.8125,27.71875,60.6875,0.457,6.59375,20.15625,0.327,12.96875,19.4375,12.5625,41.34375,15.46875,5.625,5.875,13.5625,16.75,0.618,11.22,10.19,0.555555556,73.70588235,72.67647059,25.64705882,58.08823529,0.442,6.382352941,19.14705882,0.333,16.02941176,22.79411765,10.55882353,35.91176471,13.76470588,6.852941176,3.764705882,12.47058824,17.67647059
"Pittsburgh, PA",1,2,7,2018,Rhode Island,0,10,Oklahoma,1,1,0.781,12.18,3.9,0.833333333,76.1875,67.90625,28.09375,61.15625,0.459,6.8125,19.46875,0.35,13.1875,18.65625,11.28125,34.375,15.28125,7.5,3.46875,10.71875,19.03125,0.581,14.41,10.89,0.444444444,85.16129032,81.64516129,29.83870968,64.29032258,0.464,9.548387097,26.29032258,0.363,15.93548387,21.29032258,10.35483871,37.90322581,15.06451613,6.580645161,4.709677419,13.35483871,17.19354839
Detroit,1,0,7,2018,Arkansas,1,10,Butler,1,1,0.676,15.68,10.12,0.555555556,81.08823529,75.52941176,28.97058824,60.67647059,0.477,7.794117647,19.5,0.4,15.35294118,22.64705882,10.17647059,34.79411765,14.47058824,6.235294118,4.617647059,11,20.17647059,0.606,16.44,10.11,0.5,79.12121212,72.78787879,29.21212121,61.84848485,0.472,8.181818182,23,0.356,12.51515152,16.24242424,9.181818182,34.09090909,14,6.727272727,2.939393939,11.18181818,18.24242424
Wichita,2,1,8,2018,Seton Hall,1,9,North Carolina State,1,1,0.656,15.49,9.81,0.555555556,79,73.3125,28.5625,60.9375,0.469,7.28125,20,0.364,14.59375,21.0625,12.03125,38.21875,15.8125,6.28125,3.5,12.8125,17.71875,0.656,13.49,6.74,0.611111111,81.21875,74.46875,29.28125,62.28125,0.47,7.875,21.15625,0.372,14.78125,21.09375,12.1875,35.6875,16.15625,7.5,3.8125,12.1875,18.09375
"Charlotte, NC",2,2,8,2018,Creighton,0,9,Kansas St.,1,1,0.656,16.89,8.05,0.555555556,84.28125,74.21875,30.78125,61.9375,0.497,10.4375,27.78125,0.376,12.28125,16.4375,7.25,36.28125,18,5.65625,2.65625,11.1875,15,0.667,13.44,8.95,0.555555556,72.36363636,67.87878788,25.87878788,54.81818182,0.472,6.939393939,20.15151515,0.344,13.66666667,18.42424242,8.151515152,30.60606061,14.33333333,7.757575758,3,11.48484848,18.39393939
Nashville,0,0,8,2018,Missouri ,1,9,Florida State ,1,1,0.625,14.55,9.35,0.555555556,73.28125,68.09375,24.3125,53.625,0.453,9.3125,24.21875,0.385,15.34375,20.84375,10.21875,37.15625,13.59375,5.15625,4.25,14.15625,17.90625,0.645,14.97,7.68,0.5,81.77419355,74.48387097,29.22580645,61.67741935,0.474,8,22.77419355,0.351,15.25806452,22.29032258,11.70967742,38.03225806,15.25806452,6.709677419,5.161290323,13,18.25806452
"Pittsburgh, PA",0,2,8,2018,Virginia Tech,1,9,Alabama,1,1,0.656,14.88,6.91,0.555555556,79.71875,71.75,28.15625,56.59375,0.498,8.75,22.71875,0.385,14.65625,20.65625,7.375,33,16.5,5.75,2.28125,11.90625,15.6875,0.559,12.95,10.56,0.444444444,72.35294118,69.97058824,25.29411765,55.20588235,0.458,6.382352941,19.64705882,0.325,15.38235294,22.88235294,10.02941176,36.20588235,12.52941176,6.411764706,5.470588235,14.14705882,18.97058824
Dallas,2,2,11,2018,St. Bonaventure,0,11,UCLA,1,1,0.781,8.99,2.08,0.777777778,77.90625,71,26.375,57.8125,0.456,7.75,19.46875,0.398,17.40625,23.09375,10.34375,35.5625,14.21875,6.90625,3.59375,11.46875,20.03125,0.656,12.85,7.26,0.611111111,81.90625,76.3125,28.3125,61.375,0.461,9.375,24.46875,0.383,15.90625,22.03125,10.3125,38.8125,15.0625,5.71875,3.90625,11.84375,17.9375
